"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"UNICHEMLAB","193.85","33035.00","78765.24","1.44","-2.76","-16.98","-18.17","-18.53","193.43","194.85","204.54","203.12","213.29","208.40","218.60","215.22","222.27","220.97","230.82","233.35","278.07","258.78","243.59","183.00","213.29","-9.53","-7.31","-2.22","34.98","11.62","33.23","26.96","31.43","26.72","-12.69","205.45","7.45","7.76","-78.60","-0.23","100.00","33.33","-39.65","","2018-10-05"
"UNIENTER","88.95","6499.00","48484.28","-1.44","-3.94","3.43","11.89","-12.10","90.95","91.51","101.10","94.55","95.59","94.05","90.69","91.66","87.34","89.41","83.25","86.74","85.12","87.62","121.59","69.60","95.59","1.42","3.57","-2.15","32.85","27.30","27.96","45.94","18.37","15.70","-84.54","121.06","5.65","6.92","-89.00","0.37","0.00","4.84","2.95","","2018-10-05"
"UNIINFO","24.70","2000.00","7320.00","-5.00","-21.09","-29.83","-54.17","0.00","28.67","27.92","32.56","31.03","33.16","32.45","34.32","34.79","37.12","37.43","43.95","43.86","","","39.95","26.38","33.16","-2.72","-1.96","-0.75","20.81","28.29","57.32","29.82","0.00","4.37","-107.36","35.47","1.30","1.86","-100.00","-0.74","0.00","0.00","-10.50","","2018-10-05"
"UNIONBANK","66.00","8324894.00","9211028.98","-3.01","-2.37","-26.87","-18.27","-48.58","67.51","67.80","71.35","71.33","75.23","73.98","80.35","77.29","82.07","79.54","83.36","84.11","99.74","101.91","88.32","62.14","75.23","-4.77","-4.00","-0.78","42.16","8.14","32.55","31.73","49.38","50.77","-67.69","63.57","3.50","4.31","-87.50","-0.19","51.06","74.58","-24.25","","2018-10-05"
"UNIONBANK-1M","66.20","15876000.00","21111240.00","-3.22","-2.29","-27.01","-18.47","-48.40","67.84","68.08","71.54","71.58","75.47","74.23","80.63","77.55","82.35","79.81","83.62","84.39","100.06","102.30","88.61","62.33","75.47","-4.78","-4.02","-0.76","42.50","7.99","32.06","31.60","47.50","49.90","-73.17","63.77","3.70","4.46","-87.65","-0.19","50.02","73.15","-24.50","","2018-10-05"
"UNIONBANK-2M","66.80","282000.00","4893960.00","-3.26","-1.84","-26.67","-17.63","-48.38","68.25","68.54","71.87","71.96","75.84","74.61","81.04","77.94","82.77","80.20","84.01","84.79","100.54","102.79","89.08","62.59","75.84","-4.77","-4.05","-0.73","42.10","8.52","37.53","32.49","56.10","55.98","-57.59","63.91","3.45","4.06","-85.58","-0.19","52.94","76.06","-24.30","","2018-10-05"
"UNIPLY","56.35","367190.00","189238.22","4.26","-1.74","-17.13","-26.20","5.07","56.61","56.74","59.93","59.37","62.22","61.17","64.93","63.80","66.57","66.10","71.64","69.88","78.69","72.42","71.48","52.96","62.22","-3.35","-2.79","-0.56","32.40","10.15","23.14","37.57","38.77","40.77","-39.51","61.10","3.90","5.00","-76.12","-0.34","99.04","48.05","-11.65","","2018-10-05"
"UNITECH","2.55","9059396.00","10288991.78","-5.56","-8.93","-33.77","-38.55","-61.36","2.61","2.64","2.80","2.83","3.01","3.00","3.42","3.27","3.65","3.51","3.97","3.99","5.63","5.14","3.69","2.32","3.01","-0.32","-0.31","-0.01","46.35","10.08","31.16","28.38","45.57","39.07","-27.78","2.96","0.20","0.23","-75.00","-0.60","57.78","74.55","-1.30","","2018-10-05"
"UNITEDBNK","10.15","345506.00","426402.76","-2.40","-4.69","-17.48","-8.97","-43.61","10.31","10.37","10.84","10.73","11.10","10.93","11.33","11.13","11.37","11.26","11.37","11.62","13.14","13.37","12.23","9.97","11.10","-0.35","-0.23","-0.12","13.90","18.65","27.41","30.49","30.69","29.62","-124.18","11.63","0.40","0.48","-96.49","-0.05","11.52","50.30","-2.15","","2018-10-05"
"UNITEDTEA","349.05","642.00","2661.20","1.57","-5.51","-21.28","1.10","18.26","342.64","348.00","366.00","363.09","381.34","371.74","388.72","378.22","385.40","379.05","375.13","377.39","387.00","383.09","437.10","325.58","381.34","-14.32","-8.56","-5.76","18.42","14.95","22.42","40.10","24.53","18.66","17.36","401.04","28.00","27.99","-79.97","0.12","100.00","45.48","-94.35","","2018-10-05"
